Customer_ID,Age,Gender,Income,Account_Balance ,Credit_Score,Num_Products,Transaction_Frequency,Avg_Transaction_Amount ,Loan_Amount,Tenure_Years,City,Channel_Preference,Is_Active,Savings_Pattern
C001,24,Male,350000,15000,720,1,8,1200,0,1,Mumbai,Mobile,Yes,Regular
C002,32,Female,550000,50000,750,2,15,2500,150000,3,Delhi,Internet,Yes,Regular
C003,45,Male,850000,200000,810,3,10,5200,350000,8,Pune,Branch,Yes,Investor
C004,29,Female,420000,30000,695,1,6,1100,0,2,Chennai,Mobile,No,Regular
C005,37,Male,780000,100000,790,2,12,3100,200000,5,Bangalore,Internet,Yes,Saver
C006,41,Female,920000,250000,815,3,9,4200,500000,9,Hyderabad,Branch,Yes,Investor
C007,28,Male,400000,25000,680,1,5,900,0,1,Mumbai,Mobile,Yes,Regular
C008,35,Female,640000,60000,760,2,11,2800,100000,4,Delhi,Internet,Yes,Saver
C009,50,Male,1050000,350000,830,4,13,5600,450000,10,Pune,Branch,Yes,Investor
C010,26,Female,370000,18000,700,1,7,1300,0,1,Chennai,Mobile,No,Regular
C011,31,Male,520000,45000,740,2,14,2400,80000,3,Delhi,Internet,Yes,Regular
C012,46,Female,870000,230000,805,3,10,4900,300000,8,Hyderabad,Branch,Yes,Saver
C013,39,Male,780000,120000,785,2,12,3300,150000,6,Mumbai,Internet,Yes,Saver
C014,43,Female,900000,270000,820,3,8,4100,400000,9,Pune,Branch,Yes,Investor
C015,25,Male,340000,12000,710,1,9,1000,0,1,Delhi,Mobile,Yes,Regular
C016,36,Female,630000,70000,770,2,11,2600,120000,5,Chennai,Internet,Yes,Saver
C017,48,Male,980000,320000,825,4,13,5300,400000,10,Bangalore,Branch,Yes,Investor
C018,33,Female,570000,55000,755,2,12,2400,90000,4,Mumbai,Internet,Yes,Saver
C019,44,Male,880000,220000,800,3,10,4600,250000,9,Pune,Branch,Yes,Investor
C020,27,Female,390000,20000,715,1,7,1200,0,2,Delhi,Mobile,No,Regular
C021,49,Male,970000,330000,835,4,14,5500,420000,11,Bangalore,Branch,Yes,Investor
C022,38,Female,750000,110000,780,2,10,3200,160000,6,Hyderabad,Internet,Yes,Saver
C023,30,Male,510000,40000,745,2,11,2300,70000,3,Chennai,Mobile,Yes,Regular
C024,42,Female,880000,200000,810,3,9,4800,310000,8,Delhi,Branch,Yes,Investor
C025,35,Male,680000,90000,770,2,10,3000,130000,5,Mumbai,Internet,Yes,Saver
C026,28,Female,420000,25000,705,1,8,1400,0,1,Bangalore,Mobile,Yes,Regular
C027,47,Male,940000,280000,820,3,12,5000,350000,9,Pune,Branch,Yes,Investor
C028,40,Female,850000,190000,800,3,10,4100,220000,8,Hyderabad,Internet,Yes,Saver
C029,31,Male,540000,42000,750,2,11,2600,90000,3,Delhi,Mobile,Yes,Regular
C030,26,Female,380000,16000,700,1,9,1000,0,1,Chennai,Mobile,No,Regular
C031,34,Male,620000,65000,765,2,10,2700,110000,4,Mumbai,Internet,Yes,Saver
C032,45,Female,910000,210000,815,3,9,4600,300000,9,Pune,Branch,Yes,Investor
C033,38,Male,760000,95000,785,2,11,3100,140000,5,Delhi,Internet,Yes,Saver
C034,50,Female,1020000,340000,830,4,12,5500,500000,11,Bangalore,Branch,Yes,Investor
C035,29,Male,420000,28000,710,1,8,1300,0,2,Chennai,Mobile,Yes,Regular
C036,41,Female,890000,240000,810,3,10,4700,330000,8,Hyderabad,Internet,Yes,Saver
C037,36,Male,740000,100000,780,2,11,2900,150000,6,Pune,Internet,Yes,Saver
C038,47,Female,950000,310000,825,3,9,5200,380000,10,Mumbai,Branch,Yes,Investor
C039,32,Male,580000,50000,755,2,10,2400,100000,4,Delhi,Mobile,Yes,Regular
C040,25,Female,360000,12000,695,1,7,900,0,1,Chennai,Mobile,No,Regular
C041,43,Male,870000,200000,805,3,8,4400,260000,8,Bangalore,Branch,Yes,Investor
C042,28,Female,410000,22000,710,1,9,1200,0,2,Delhi,Internet,Yes,Regular
C043,46,Male,920000,250000,820,3,10,4800,340000,9,Pune,Branch,Yes,Investor
C044,37,Female,720000,85000,775,2,10,3100,120000,5,Mumbai,Internet,Yes,Saver
C045,30,Male,520000,40000,740,2,11,2300,80000,3,Chennai,Mobile,Yes,Regular
C046,39,Female,860000,190000,800,3,9,4600,290000,8,Hyderabad,Branch,Yes,Investor
C047,33,Male,600000,55000,760,2,12,2600,100000,4,Delhi,Internet,Yes,Saver
C048,42,Female,880000,210000,810,3,10,4700,320000,9,Pune,Branch,Yes,Investor
C049,27,Male,390000,18000,705,1,8,1100,0,2,Mumbai,Mobile,No,Regular
C050,49,Female,970000,330000,835,4,14,5400,430000,11,Bangalore,Branch,Yes,Investor
